experiment,run_number,status,outcome,turn_count,retry_count,max_turns,latency_ms,tags,summary,last_error,model,temperature,seed,timestamp_utc
ceiling_2,1,completed,valid_first_attempt,1,0,2,12148.43,"[""Furnished Studio"", ""Near SJSU Campus"", ""Walkable Location""]","Furnished studio near SJSU campus, walkable location for students and commuters.",,qwen3:8b,0.0,2974,2026-09-14T07:50:48Z
ceiling_2,2,completed,valid_first_attempt,1,0,2,3095.09,"[""Furnished Studio"", ""Near SJSU Campus"", ""Walkable Location""]","Furnished studio near SJSU campus, walkable location for students and commuters.",,qwen3:8b,0.0,2974,2026-09-14T07:50:51Z
ceiling_2,3,completed,valid_first_attempt,1,0,2,3117.82,"[""Furnished Studio"", ""Near SJSU Campus"", ""Walkable Location""]","Furnished studio near SJSU campus, walkable location for students and commuters.",,qwen3:8b,0.0,2974,2026-09-14T07:50:54Z
ceiling_2,4,completed,valid_first_attempt,1,0,2,3311.56,"[""Furnished Studio"", ""Near SJSU Campus"", ""Walkable Location""]","Furnished studio near SJSU campus, walkable location for students and commuters.",,qwen3:8b,0.0,2974,2026-09-14T07:50:57Z
ceiling_2,5,completed,valid_first_attempt,1,0,2,3146.78,"[""Furnished Studio"", ""Near SJSU Campus"", ""Walkable Location""]","Furnished studio near SJSU campus, walkable location for students and commuters.",,qwen3:8b,0.0,2974,2026-09-14T07:51:00Z
ceiling_2,6,completed,valid_first_attempt,1,0,2,3024.84,"[""Furnished Studio"", ""Near SJSU Campus"", ""Walkable Location""]","Furnished studio near SJSU campus, walkable location for students and commuters.",,qwen3:8b,0.0,2974,2026-09-14T07:51:03Z
ceiling_2,7,completed,valid_first_attempt,1,0,2,3255.01,"[""Furnished Studio"", ""Near SJSU Campus"", ""Walkable Location""]","Furnished studio near SJSU campus, walkable location for students and commuters.",,qwen3:8b,0.0,2974,2026-09-14T07:51:06Z
ceiling_2,8,completed,valid_first_attempt,1,0,2,3183.91,"[""Furnished Studio"", ""Near SJSU Campus"", ""Walkable Location""]","Furnished studio near SJSU campus, walkable location for students and commuters.",,qwen3:8b,0.0,2974,2026-09-14T07:51:10Z
ceiling_2,9,completed,valid_first_attempt,1,0,2,3103.54,"[""Furnished Studio"", ""Near SJSU Campus"", ""Walkable Location""]","Furnished studio near SJSU campus, walkable location for students and commuters.",,qwen3:8b,0.0,2974,2026-09-14T07:51:13Z
ceiling_2,10,completed,valid_first_attempt,1,0,2,3103.04,"[""Furnished Studio"", ""Near SJSU Campus"", ""Walkable Location""]","Furnished studio near SJSU campus, walkable location for students and commuters.",,qwen3:8b,0.0,2974,2026-09-14T07:51:16Z
ceiling_2,11,completed,valid_first_attempt,1,0,2,3018.65,"[""Furnished Studio"", ""Near SJSU Campus"", ""Walkable Location""]","Furnished studio near SJSU campus, walkable location for students and commuters.",,qwen3:8b,0.0,2974,2026-09-14T07:51:19Z
ceiling_2,12,completed,valid_first_attempt,1,0,2,3028.26,"[""Furnished Studio"", ""Near SJSU Campus"", ""Walkable Location""]","Furnished studio near SJSU campus, walkable location for students and commuters.",,qwen3:8b,0.0,2974,2026-09-14T07:51:22Z
ceiling_2,13,completed,valid_first_attempt,1,0,2,3083.93,"[""Furnished Studio"", ""Near SJSU Campus"", ""Walkable Location""]","Furnished studio near SJSU campus, walkable location for students and commuters.",,qwen3:8b,0.0,2974,2026-09-14T07:51:25Z
ceiling_2,14,completed,valid_first_attempt,1,0,2,3016.66,"[""Furnished Studio"", ""Near SJSU Campus"", ""Walkable Location""]","Furnished studio near SJSU campus, walkable location for students and commuters.",,qwen3:8b,0.0,2974,2026-09-14T07:51:28Z
ceiling_2,15,completed,valid_first_attempt,1,0,2,3004.37,"[""Furnished Studio"", ""Near SJSU Campus"", ""Walkable Location""]","Furnished studio near SJSU campus, walkable location for students and commuters.",,qwen3:8b,0.0,2974,2026-09-14T07:51:31Z
ceiling_2,16,completed,valid_first_attempt,1,0,2,3012.88,"[""Furnished Studio"", ""Near SJSU Campus"", ""Walkable Location""]","Furnished studio near SJSU campus, walkable location for students and commuters.",,qwen3:8b,0.0,2974,2026-09-14T07:51:34Z
ceiling_2,17,completed,valid_first_attempt,1,0,2,3114.98,"[""Furnished Studio"", ""Near SJSU Campus"", ""Walkable Location""]","Furnished studio near SJSU campus, walkable location for students and commuters.",,qwen3:8b,0.0,2974,2026-09-14T07:51:37Z
ceiling_2,18,completed,valid_first_attempt,1,0,2,3184.18,"[""Furnished Studio"", ""Near SJSU Campus"", ""Walkable Location""]","Furnished studio near SJSU campus, walkable location for students and commuters.",,qwen3:8b,0.0,2974,2026-09-14T07:51:40Z
ceiling_2,19,completed,valid_first_attempt,1,0,2,3180.02,"[""Furnished Studio"", ""Near SJSU Campus"", ""Walkable Location""]","Furnished studio near SJSU campus, walkable location for students and commuters.",,qwen3:8b,0.0,2974,2026-09-14T07:51:44Z
ceiling_2,20,completed,valid_first_attempt,1,0,2,3043.82,"[""Furnished Studio"", ""Near SJSU Campus"", ""Walkable Location""]","Furnished studio near SJSU campus, walkable location for students and commuters.",,qwen3:8b,0.0,2974,2026-09-14T07:51:47Z
