experiment,run_number,status,outcome,turn_count,retry_count,max_turns,latency_ms,tags,summary,last_error,model,temperature,seed,timestamp_utc
schema_validation,1,completed,valid_first_attempt,1,0,10,11704.01,"[""Furnished Studio"", ""Near SJSU Campus"", ""Walkable Location""]","Furnished studio near SJSU campus, walkable location for students and commuters.",,qwen3:8b,0.0,2974,2026-09-14T07:38:01Z
schema_validation,2,completed,valid_first_attempt,1,0,10,3103.11,"[""Furnished Studio"", ""Near SJSU Campus"", ""Walkable Location""]","Furnished studio near SJSU campus, walkable location for students and commuters.",,qwen3:8b,0.0,2974,2026-09-14T07:38:05Z
schema_validation,3,completed,valid_first_attempt,1,0,10,3072.68,"[""Furnished Studio"", ""Near SJSU Campus"", ""Walkable Location""]","Furnished studio near SJSU campus, walkable location for students and commuters.",,qwen3:8b,0.0,2974,2026-09-14T07:38:08Z
schema_validation,4,completed,valid_first_attempt,1,0,10,3074.97,"[""Furnished Studio"", ""Near SJSU Campus"", ""Walkable Location""]","Furnished studio near SJSU campus, walkable location for students and commuters.",,qwen3:8b,0.0,2974,2026-09-14T07:38:11Z
schema_validation,5,completed,valid_first_attempt,1,0,10,3057.6,"[""Furnished Studio"", ""Near SJSU Campus"", ""Walkable Location""]","Furnished studio near SJSU campus, walkable location for students and commuters.",,qwen3:8b,0.0,2974,2026-09-14T07:38:14Z
schema_validation,6,completed,valid_first_attempt,1,0,10,3044.92,"[""Furnished Studio"", ""Near SJSU Campus"", ""Walkable Location""]","Furnished studio near SJSU campus, walkable location for students and commuters.",,qwen3:8b,0.0,2974,2026-09-14T07:38:17Z
schema_validation,7,completed,valid_first_attempt,1,0,10,3351.16,"[""Furnished Studio"", ""Near SJSU Campus"", ""Walkable Location""]","Furnished studio near SJSU campus, walkable location for students and commuters.",,qwen3:8b,0.0,2974,2026-09-14T07:38:20Z
schema_validation,8,completed,valid_first_attempt,1,0,10,3158.96,"[""Furnished Studio"", ""Near SJSU Campus"", ""Walkable Location""]","Furnished studio near SJSU campus, walkable location for students and commuters.",,qwen3:8b,0.0,2974,2026-09-14T07:38:23Z
schema_validation,9,completed,valid_first_attempt,1,0,10,3121.36,"[""Furnished Studio"", ""Near SJSU Campus"", ""Walkable Location""]","Furnished studio near SJSU campus, walkable location for students and commuters.",,qwen3:8b,0.0,2974,2026-09-14T07:38:26Z
schema_validation,10,completed,valid_first_attempt,1,0,10,3054.1,"[""Furnished Studio"", ""Near SJSU Campus"", ""Walkable Location""]","Furnished studio near SJSU campus, walkable location for students and commuters.",,qwen3:8b,0.0,2974,2026-09-14T07:38:29Z
